SP500,AAPL,AMZN,FB,GOOG,MSFT
2349.0601,143.4,887.3910000000001,141.2399,831.465,65.32
2348.6799,143.37,887.6017,141.24,832.0,65.295
2348.6499,143.4,887.4051,141.23,831.8858,65.3
2348.9399,143.405,887.3,141.19,831.7812,65.275
2349.3301,143.43,887.23,141.17,831.83,65.28
2350.48,143.44,887.12,141.185,831.91,65.28
2350.78,143.4995,887.67,141.27,831.98,65.3464
2351.1201,143.5063,887.6439999999999,141.286,831.77,65.355
2351.0901,143.53,887.5,141.27,831.96,65.36
2351.1799,143.5335,887.79,141.28,831.85,65.355
2352.24,143.5293,887.76,141.27,831.85,65.345
2351.6299,143.54,887.97,141.35,832.0,65.36
2352.01,143.51,887.6610000000001,141.31,832.12,65.37
2351.49,143.52,887.75,141.37,832.3138,65.37
2351.3701,143.52,887.94,141.33,832.28,65.36
2351.54,143.54,888.08,141.35,832.28,65.3665
2351.71,143.534,888.44,141.39,832.4489,65.36
2351.8201,143.5901,888.58,141.39,832.525,65.3871
2352.0901,143.61,888.77,141.3999,832.4,65.395
2352.04,143.62,888.71,141.43,832.35,65.39
2352.22,143.58,888.73,141.38,832.07,65.375
2351.8501,143.57,889.02,141.416,831.97,65.4
2352.3999,143.5246,888.91,141.4,832.15,65.39
2352.73,143.54,889.07,141.4767,832.38,65.405
2352.9299,143.5589,888.946,141.46,832.37,65.41
2352.96,143.569,888.75,141.48,832.6379,65.4355
2352.1001,143.56,889.02,141.4717,832.43,65.42
2351.73,143.51,888.6818,141.415,832.29,65.4
2352.0,143.4657,888.2535,141.39,832.14,65.39
2351.76,143.52,888.52,141.45,832.21,65.415
2352.45,143.4835,888.72,141.47,832.31,65.41
2351.75,143.5,889.47,141.54,832.7,65.425
2351.8799,143.49,888.81,141.48,832.51,65.405
2351.6101,143.496,889.25,141.5,832.57,65.41
2351.5,143.45,888.74,141.46,832.71,65.4
2352.0901,143.4643,888.9085,141.48,832.46,65.395
2352.1201,143.5,889.2704,141.5,832.46,65.41
2352.74,143.5,889.3522,141.54,832.74,65.415
2352.47,143.5501,889.72,141.58,833.02,65.445
2352.54,143.5458,889.63,141.61,833.1096,65.44
2353.49,143.52,889.85,141.68,832.925,65.435
2352.8201,143.58,890.27,141.77,833.705,65.4828
2353.3501,143.51,889.794,141.735,833.4327,65.45
2354.02,143.535,889.57,141.74,833.5754,65.4599
2353.5701,143.57,890.3,141.78,833.82,65.475
2353.8999,143.55,889.94,141.76,834.03,65.47
2353.98,143.59,889.665,141.77,834.06,65.47
2354.01,143.58,889.9,141.79,834.2,65.475
2353.4299,143.58,889.65,141.74,834.23,65.47
2353.1101,143.54,889.48,141.7299,834.2199,65.455
2352.8899,143.55,889.19,141.66,833.95,65.435
2353.4099,143.58,889.24,141.66,833.75,65.43
2353.47,143.62,889.29,141.655,834.0756,65.4465
2354.0601,143.62,889.22,141.66,834.38,65.46
2354.4199,143.6533,889.67,141.6899,834.63,65.485
2354.3401,143.655,889.6,141.7126,834.59,65.48
2354.3501,143.66,889.74,141.69,834.975,65.48
2354.4399,143.64,890.015,141.71,835.12,65.475
2354.6001,143.68,889.8364,141.76,835.1,65.46
2354.0601,143.69,889.7152,141.7534,835.16,65.465
2354.05,143.65,889.36,141.74,835.33,65.445
2353.51,143.68,889.25,141.731,835.18,65.435
2353.72,143.6454,888.92,141.7,834.71,65.415
2353.76,143.65,889.0010000000001,141.69,834.93,65.425
2352.71,143.6,888.95,141.7,834.76,65.41
2353.21,143.53,888.5864,141.63,834.5,65.37
2352.8401,143.6,888.83,141.73,834.5859,65.41
2352.4399,143.57,888.88,141.68,834.46,65.385
2352.6201,143.559,888.5210000000001,141.69,834.61,65.37
2352.8601,143.55,889.1717,141.685,834.7510000000001,65.38
2352.8799,143.63,889.24,141.72,834.88,65.38
2352.9099,143.64,889.04,141.725,834.88,65.375
2352.02,143.61,889.12,141.7148,834.92,65.375
2352.1399,143.5754,888.71,141.68,834.75,65.35
2352.03,143.59,888.84,141.6753,834.89,65.345
2352.48,143.559,888.8,141.69,834.68,65.335
2352.1899,143.6,888.9635,141.73,835.03,65.33
2351.8301,143.59,888.94,141.735,835.15,65.325
2351.6499,143.54,888.92,141.73,835.1,65.3262
2350.97,143.53,888.99,141.73,835.13,65.33
2351.29,143.5,888.669,141.69,834.75,65.3
2350.8501,143.5,888.53,141.73,834.73,65.32
2350.52,143.4859,888.45,141.71,834.4,65.285
2351.0801,143.45,888.3139,141.67,834.29,65.27
2351.1699,143.48,888.7097,141.74,834.84,65.3095
2350.5801,143.49,888.64,141.77,834.79,65.32
2350.0801,143.4535,888.48,141.7299,834.6979,65.3
2351.1499,143.4199,888.3,141.6854,834.65,65.285
2352.1001,143.5,888.83,141.75,835.01,65.33
2351.99,143.54,889.26,141.83,835.57,65.355
2351.6699,143.52,888.92,141.84,835.54,65.36
2351.6399,143.46,889.11,141.83,835.63,65.35
2351.7,143.47,889.32,141.84,835.75,65.335
2352.1699,143.5,889.4,141.8469,835.75,65.355
2352.23,143.52,889.497,141.86,835.99,65.365
2352.01,143.48,889.674,141.85,835.96,65.3585
2352.3501,143.47,889.07,141.83,835.93,65.35
2352.3899,143.53,889.57,141.87,836.3,65.38
2352.28,143.51,889.5277,141.8575,836.44,65.3765
2352.3799,143.51,889.5163,141.8851,836.16,65.38
2352.6499,143.49,889.37,141.89,836.11,65.39
2353.27,143.52,889.4092,141.93,836.65,65.41
2352.53,143.5284,889.435,141.91,836.78,65.4214
2352.4199,143.4948,889.3552,141.87,836.16,65.399
2352.6001,143.51,889.18,141.91,836.27,65.39
2352.5801,143.505,889.25,141.9,836.335,65.39
2352.3301,143.515,889.185,141.92,836.21,65.39
2351.97,143.5,889.1566,141.9,836.22,65.385
2352.1001,143.49,888.97,141.8508,836.1,65.375
2351.79,143.505,889.05,141.84,836.09,65.375
2352.3701,143.485,888.9975,141.82,835.92,65.365
2352.04,143.52,889.04,141.86,836.03,65.38
2351.4399,143.49,889.0214,141.84,835.94,65.365
2352.1001,143.45,888.71,141.84,835.845,65.3568
2352.47,143.48,888.97,141.8701,836.2,65.38
2352.6899,143.51,889.0,141.8923,836.1905,65.38
2351.8301,143.52,889.2025,141.91,836.0,65.38
2352.0,143.4552,888.97,141.88,836.31,65.365
2350.73,143.45,889.04,141.9,836.42,65.36
2350.72,143.38,888.4,141.82,836.36,65.33
2351.03,143.38,888.4,141.8001,835.98,65.32
2350.9099,143.42,888.65,141.83,836.29,65.3435
2350.79,143.39,888.13,141.8,836.24,65.34
2350.71,143.4,888.44,141.8,836.135,65.35
2351.01,143.4,888.19,141.79,836.0,65.34
2351.47,143.4439,888.175,141.81,836.24,65.36
2351.8401,143.47,888.26,141.827,836.4,65.38
2351.8501,143.505,888.05,141.83,836.56,65.38
2352.1001,143.48,888.4,141.84,836.565,65.39
2353.29,143.5134,888.34,141.87,836.76,65.41
2353.6001,143.59,889.2,141.9401,837.334,65.45
2353.8201,143.6063,889.5,141.96,837.2355,65.47
2353.48,143.6409,889.502,141.975,837.22,65.49
2353.95,143.61,889.4,141.95,837.07,65.49
2353.52,143.6308,889.6,142.0,837.05,65.495
